time,latitude,longitude,t2m,tp
1986-11-01T12:00:00,37.021,-108.685,281.0768788068063,0.012604983361107387
1986-12-01T12:00:00,37.021,-108.685,271.45767239598894,5.00336734852308e-07
1987-01-01T12:00:00,37.021,-108.685,269.0019504335874,0.0
1987-02-01T12:00:00,37.021,-108.685,268.8518693734272,0.0
1987-03-01T12:00:00,37.021,-108.685,253.90890843297106,5.00336734852308e-07
1987-04-01T12:00:00,37.021,-108.685,269.2509860389082,1.2508418371290353e-06
1987-05-01T12:00:00,37.021,-108.685,283.0081416798568,0.0010114307095017904
1987-06-01T12:00:00,37.021,-108.685,288.172744316029,5.00336734852308e-07
1987-07-01T12:00:00,37.021,-108.685,288.1743935584484,0.0
1987-08-01T12:00:00,37.021,-108.685,289.24640113102123,2.2515153068319166e-06
1987-09-01T12:00:00,37.021,-108.685,288.8703738594111,2.50168367426154e-07
1987-10-01T12:00:00,37.021,-108.685,281.71596024430164,7.505051022767273e-07
1987-11-01T12:00:00,37.021,-108.685,282.2115575913142,0.0033465022510525445
1987-12-01T12:00:00,37.021,-108.685,263.80106446418966,7.505051022767273e-07
1988-01-01T12:00:00,37.021,-108.685,251.45236184935985,0.0
1988-02-01T12:00:00,37.021,-108.685,269.7630758101142,0.00041152696441514904
1988-03-01T12:00:00,37.021,-108.685,273.480468223313,0.0003617434592974502
1988-04-01T12:00:00,37.021,-108.685,272.5247322413038,0.0032041564499873665
1988-05-01T12:00:00,37.021,-108.685,281.2789110031758,0.0
1988-06-01T12:00:00,37.021,-108.685,277.3759788178009,0.0
1988-07-01T12:00:00,37.021,-108.685,288.78296401118587,0.0
1988-08-01T12:00:00,37.021,-108.685,290.35386741561,0.0003674973317482396
1988-09-01T12:00:00,37.021,-108.685,286.97704356200546,0.00017111516331912678
1988-10-01T12:00:00,37.021,-108.685,280.2860670667314,0.0
1988-11-01T12:00:00,37.021,-108.685,278.7044435865816,5.00336734852308e-07
1988-12-01T12:00:00,37.021,-108.685,259.44706447712446,5.00336734852308e-07
1989-01-01T12:00:00,37.021,-108.685,259.5262281132529,0.0
1989-02-01T12:00:00,37.021,-108.685,265.649865216273,0.0
1989-03-01T12:00:00,37.021,-108.685,269.7944114160817,0.0
1989-04-01T12:00:00,37.021,-108.685,277.2564087423985,5.00336734852308e-07
1989-05-01T12:00:00,37.021,-108.685,277.42792995401015,7.505051022767273e-07
1989-06-01T12:00:00,37.021,-108.685,280.5318041872135,0.0
1989-07-01T12:00:00,37.021,-108.685,291.1108696860884,0.0
1989-08-01T12:00:00,37.021,-108.685,290.93357612600903,0.002359588041558467
1989-09-01T12:00:00,37.021,-108.685,286.2555000035429,5.00336734852308e-07
1989-10-01T12:00:00,37.021,-108.685,289.61912991779275,5.00336734852308e-07
1989-11-01T12:00:00,37.021,-108.685,271.8435951221152,7.505051022767273e-07
1989-12-01T12:00:00,37.021,-108.685,269.54620043197053,0.0
1990-01-01T12:00:00,37.021,-108.685,266.4645909714284,0.0
1990-02-01T12:00:00,37.021,-108.685,268.064356118191,7.855286737164582e-05
1990-03-01T12:00:00,37.021,-108.685,271.8922477734858,0.0003467333572519122
1990-04-01T12:00:00,37.021,-108.685,274.2803507966943,2.0763974496327414e-05
1990-05-01T12:00:00,37.021,-108.685,278.2673943454557,0.0039226400012337525
1990-06-01T12:00:00,37.021,-108.685,282.9858769071957,0.0
1990-07-01T12:00:00,37.021,-108.685,295.0138018714633,0.0002058885663912876
1990-08-01T12:00:00,37.021,-108.685,291.45885983656973,0.00011032425003469973
1990-09-01T12:00:00,37.021,-108.685,289.8426022656137,1.2508418371290353e-06
1990-10-01T12:00:00,37.021,-108.685,287.2681348490195,0.00011082458676955204
1990-11-01T12:00:00,37.021,-108.685,278.7522716167425,7.705185716709237e-05
1990-12-01T12:00:00,37.021,-108.685,266.791965591668,5.00336734852308e-07
1991-01-01T12:00:00,37.021,-108.685,252.52024631588435,5.00336734852308e-07
1991-02-01T12:00:00,37.021,-108.685,262.05039363605715,0.0
1991-03-01T12:00:00,37.021,-108.685,273.590967465409,0.004465005021812501
1991-04-01T12:00:00,37.021,-108.685,274.6736951137076,5.00336734852308e-07
1991-05-01T12:00:00,37.021,-108.685,274.41146556903203,2.2515153068319166e-06
1991-06-01T12:00:00,37.021,-108.685,280.1351613853615,0.004979601353607005
1991-07-01T12:00:00,37.021,-108.685,284.15848826734845,5.00336734852308e-07
1991-08-01T12:00:00,37.021,-108.685,293.001726119865,3.4523234704736394e-05
1991-09-01T12:00:00,37.021,-108.685,292.54735983333603,1.0507071431877651e-05
1991-10-01T12:00:00,37.021,-108.685,282.4548208481673,7.505051022769008e-06
1991-11-01T12:00:00,37.021,-108.685,259.9822436422012,0.0
1991-12-01T12:00:00,37.021,-108.685,269.5544466440673,0.008685095211915317
1992-01-01T12:00:00,37.021,-108.685,264.21997203870274,7.154815308372912e-05
1992-02-01T12:00:00,37.021,-108.685,266.0943360482859,7.505051022767273e-07
1992-03-01T12:00:00,37.021,-108.685,275.53212579297553,0.0
1992-04-01T12:00:00,37.021,-108.685,276.66927844111245,0.0008243047706674245
1992-05-01T12:00:00,37.021,-108.685,286.63729962362083,0.0
1992-06-01T12:00:00,37.021,-108.685,280.41223411181113,0.0003127104592820281
1992-07-01T12:00:00,37.021,-108.685,288.1504795433679,0.0
1992-08-01T12:00:00,37.021,-108.685,290.34314733988424,1.2258250003855525e-05
1992-09-01T12:00:00,37.021,-108.685,283.40066137566043,0.001152275500362415
1992-10-01T12:00:00,37.021,-108.685,282.05075645542826,0.0
1992-11-01T12:00:00,37.021,-108.685,273.8334061010524,0.0
1992-12-01T12:00:00,37.021,-108.685,265.37691559587176,5.00336734852308e-07
1993-01-01T12:00:00,37.021,-108.685,268.7009636920573,0.0
1993-02-01T12:00:00,37.021,-108.685,270.36917239922263,0.007941594823926368
1993-03-01T12:00:00,37.021,-108.685,272.3631064842082,0.0032859615061355445
1993-04-01T12:00:00,37.021,-108.685,271.07999588195946,0.0
1993-05-01T12:00:00,37.021,-108.685,279.88200267399236,0.0006887135155227379
1993-06-01T12:00:00,37.021,-108.685,289.7782818112593,7.505051022767273e-07
1993-07-01T12:00:00,37.021,-108.685,287.4949056816791,0.0
1993-08-01T12:00:00,37.021,-108.685,293.5435022546191,0.0
1993-09-01T12:00:00,37.021,-108.685,285.7714473534658,0.00015335320923190628
1993-10-01T12:00:00,37.021,-108.685,282.05405494026695,1.2508418371290353e-06
1993-11-01T12:00:00,37.021,-108.685,273.69074663177923,0.0
1993-12-01T12:00:00,37.021,-108.685,272.36393110541786,2.50168367426154e-07
1994-01-01T12:00:00,37.021,-108.685,263.48358529846615,0.0
1994-02-01T12:00:00,37.021,-108.685,259.2837894776095,0.0
1994-03-01T12:00:00,37.021,-108.685,269.01514437294213,0.0
1994-04-01T12:00:00,37.021,-108.685,274.00492731266405,0.0
1994-05-01T12:00:00,37.021,-108.685,279.2486935849647,0.00020638890312613817
1994-06-01T12:00:00,37.021,-108.685,284.69943978089293,1.0507071431877651e-05
1994-07-01T12:00:00,37.021,-108.685,299.401611328125,5.00336734852308e-07
1994-08-01T12:00:00,37.021,-108.685,292.79722005986645,1.7011448984943778e-05
1994-09-01T12:00:00,37.021,-108.685,290.519616278754,9.381313778460826e-05
1994-10-01T12:00:00,37.021,-108.685,282.5166674388926,0.0044720097361004175
1994-11-01T12:00:00,37.021,-108.685,272.38784512049835,0.0
1994-12-01T12:00:00,37.021,-108.685,261.59437810710887,0.0
1995-01-01T12:00:00,37.021,-108.685,264.4863246894266,5.253535715938826e-06
1995-02-01T12:00:00,37.021,-108.685,268.19217240569003,7.505051022767273e-07
1995-03-01T12:00:00,37.021,-108.685,275.01178980967285,0.00573986302221347
1995-04-01T12:00:00,37.021,-108.685,269.70205384059847,7.505051022767273e-07
1995-05-01T12:00:00,37.021,-108.685,275.81497086789284,1.7511785719796086e-06
1995-06-01T12:00:00,37.021,-108.685,280.0188897947978,7.505051022767273e-07
1995-07-01T12:00:00,37.021,-108.685,287.07187500111763,0.002002597781242104
1995-08-01T12:00:00,37.021,-108.685,291.681507563181,0.0
1995-09-01T12:00:00,37.021,-108.685,292.05588559237185,5.00336734852308e-07
1995-10-01T12:00:00,37.021,-108.685,278.75392085916184,0.0
1995-11-01T12:00:00,37.021,-108.685,279.7376939622999,0.0015525448882434106
1995-12-01T12:00:00,37.021,-108.685,271.48983262316614,0.0
1996-01-01T12:00:00,37.021,-108.685,269.2823216448757,5.428653573136093e-05
1996-02-01T12:00:00,37.021,-108.685,271.9153371673566,0.006224188981549474
1996-03-01T12:00:00,37.021,-108.685,268.4849129351234,0.0
1996-04-01T12:00:00,37.021,-108.685,276.2800572301475,5.00336734852308e-07
1996-05-01T12:00:00,37.021,-108.685,281.0307000190647,0.0
1996-06-01T12:00:00,37.021,-108.685,282.7170503928428,0.0
1996-07-01T12:00:00,37.021,-108.685,288.76977007183115,1.7011448984943778e-05
1996-08-01T12:00:00,37.021,-108.685,291.2683723371356,0.0
1996-09-01T12:00:00,37.021,-108.685,287.13619545547203,5.00336734852308e-07
1996-10-01T12:00:00,37.021,-108.685,282.4845072117154,0.0
1996-11-01T12:00:00,37.021,-108.685,271.9912023186464,2.50168367426154e-07
1996-12-01T12:00:00,37.021,-108.685,258.2389944049558,7.505051022767273e-07
1997-01-01T12:00:00,37.021,-108.685,271.0461864123629,5.00336734852308e-07
1997-02-01T12:00:00,37.021,-108.685,268.2515451327864,1.2508418371290353e-06
1997-03-01T12:00:00,37.021,-108.685,258.8879712969672,2.3765994905434323e-05
1997-04-01T12:00:00,37.021,-108.685,275.6195356412007,0.0019040314444764093
1997-05-01T12:00:00,37.021,-108.685,279.51587085689823,7.505051022767273e-07
1997-06-01T12:00:00,37.021,-108.685,286.8170670473292,7.505051022767273e-07
1997-07-01T12:00:00,37.021,-108.685,291.9321924109211,0.0
1997-08-01T12:00:00,37.021,-108.685,286.845104168458,5.00336734852308e-07
1997-09-01T12:00:00,37.021,-108.685,289.80384506875913,0.00024666601028166396
1997-10-01T12:00:00,37.021,-108.685,283.8649231167054,0.0
1997-11-01T12:00:00,37.021,-108.685,279.4342333571408,0.0
1997-12-01T12:00:00,37.021,-108.685,275.65334511079726,0.00016285960719408105
1998-01-01T12:00:00,37.021,-108.685,264.0072197666075,7.505051022767273e-07
1998-02-01T12:00:00,37.021,-108.685,266.1726750632047,0.0
1998-03-01T12:00:00,37.021,-108.685,263.43740651072454,0.0
1998-04-01T12:00:00,37.021,-108.685,271.4502508051019,1.7511785719796086e-06
1998-05-01T12:00:00,37.021,-108.685,277.74540911973367,5.00336734852308e-07
1998-06-01T12:00:00,37.021,-108.685,285.98914735281903,0.0
1998-07-01T12:00:00,37.021,-108.685,290.0223696893221,1.7511785719796086e-06
1998-08-01T12:00:00,37.021,-108.685,292.36759240962766,0.00014910034698567207
1998-09-01T12:00:00,37.021,-108.685,291.81839468398647,0.00011958047962944834
1998-10-01T12:00:00,37.021,-108.685,285.4259310666135,0.004589839037157886
1998-11-01T12:00:00,37.021,-108.685,276.10606215490685,3.502357143958697e-05
1998-12-01T12:00:00,37.021,-108.685,274.9524170825765,0.0
1999-01-01T12:00:00,37.021,-108.685,274.3504435995164,0.004213335644182325
1999-02-01T12:00:00,37.021,-108.685,270.7715875495423,2.226498470088087e-05
1999-03-01T12:00:00,37.021,-108.685,271.8774045917117,7.505051022767273e-07
1999-04-01T12:00:00,37.021,-108.685,276.03926783692344,0.0015973250260125967
1999-05-01T12:00:00,37.021,-108.685,276.7896731377245,0.0005933993675335762
1999-06-01T12:00:00,37.021,-108.685,281.30612350309497,0.0
1999-07-01T12:00:00,37.021,-108.685,289.59191741787356,5.00336734852308e-07
1999-08-01T12:00:00,37.021,-108.685,290.09988408303116,0.00014684883167884015
1999-09-01T12:00:00,37.021,-108.685,288.9503621167492,0.0013671701279810242
1999-10-01T12:00:00,37.021,-108.685,278.9138973738381,5.00336734852308e-07
1999-11-01T12:00:00,37.021,-108.685,273.98678564605126,0.0
1999-12-01T12:00:00,37.021,-108.685,276.2676879120025,5.00336734852308e-07
2000-01-01T12:00:00,37.021,-108.685,272.04892580332336,0.0006396805155073158
2000-02-01T12:00:00,37.021,-108.685,267.46815498359854,0.00021364378578148102
2000-03-01T12:00:00,37.021,-108.685,274.6868890530623,5.00336734852308e-07
2000-04-01T12:00:00,37.021,-108.685,273.5629303442801,0.008091946012749167
2000-05-01T12:00:00,37.021,-108.685,277.3207291967529,1.9763301026624533e-05
2000-06-01T12:00:00,37.021,-108.685,286.4154765182192,1.7511785719796086e-06
2000-07-01T12:00:00,37.021,-108.685,291.9272446836631,5.278552552680747e-05
2000-08-01T12:00:00,37.021,-108.685,292.4558268790625,7.505051022767273e-07
2000-09-01T12:00:00,37.021,-108.685,286.7148140173299,0.0
2000-10-01T12:00:00,37.021,-108.685,283.68762955662606,7.505051022767273e-07
2000-11-01T12:00:00,37.021,-108.685,274.399096250887,0.0002474165153839407
2000-12-01T12:00:00,37.021,-108.685,268.33153339012455,5.00336734852308e-07
2001-01-01T12:00:00,37.021,-108.685,264.58610385579686,1.7511785719796086e-06
2001-02-01T12:00:00,37.021,-108.685,251.5546148793591,0.0
2001-03-01T12:00:00,37.021,-108.685,267.9678754366594,0.00020213604087990396
2001-04-01T12:00:00,37.021,-108.685,275.40760799031517,0.0
2001-05-01T12:00:00,37.021,-108.685,281.2121166851924,5.00336734852308e-07
2001-06-01T12:00:00,37.021,-108.685,283.70329735960985,5.00336734852308e-07
